comercio,categoria,patron_transaccional,rango_min_ars,rango_max_ars,zona_comun
Carrefour,Alimentación,COMPRA CARREFOUR SUC,10000,180000,Nacional
Coto,Alimentación,COTO SUC,12000,250000,AMBA
Jumbo,Alimentación,JUMBO COMPRA,15000,300000,AMBA
Disco,Alimentación,DISCO SUC,10000,180000,Nacional
Vea,Alimentación,SUPERMERCADOS VEA,8000,140000,Nacional
ChangoMas,Alimentación,CHANGOMAS COMPRA,8000,160000,Nacional
Supermercados Dia,Alimentación,DIA% EXPRESS SUC,4000,60000,Nacional
Vital Mayorista,Alimentación,VITAL S.A. POS,40000,450000,Nacional
Maxiconsumo,Alimentación,MAXICONSUMO S.A.,35000,400000,Nacional
Diarco,Alimentación,DIARCO COMPRA POS,30000,350000,Nacional
Yaguar,Alimentación,MAYORISTA YAGUAR SUC,40000,500000,Nacional
Makro,Alimentación,MAKRO POS SUC,45000,600000,Nacional
McDonald's,Alimentación,MCDONALDS AR POS,6000,40000,Nacional
Burger King,Alimentación,BURGER KING POS,6000,38000,Nacional
Mostaza,Alimentación,MOSTAZA SUC COMPRA,5500,35000,Nacional
KFC,Alimentación,KFC SUC,5000,32000,AMBA
Subway,Alimentación,SUBWAY COMPRA POS,4500,28000,Nacional
Wendy's,Alimentación,WENDYS SUC,5500,34000,AMBA
Papa John's,Alimentación,PAPA JOHNS PIZZA,6000,36000,AMBA
Starbucks,Alimentación,STARBUCKS S.A. POS,3500,20000,AMBA
Cafe Martinez,Alimentación,CAFE MARTINEZ SUC,3000,18000,Nacional
Havanna,Alimentación,HAVANNA S.A. COMPRA,4500,35000,Nacional
Bonafide,Alimentación,BONAFIDE COMPRA,2500,15000,Nacional
Grido Helados,Alimentación,GRIDO HELADOS COMPRA,4000,25000,Nacional
Freddo,Alimentación,FREDDO HELADOS COMPRA,6000,45000,Nacional
Persicco,Alimentación,PERSICCO SUC,5500,40000,AMBA
Kentucky Pizzeria,Alimentación,KENTUCKY PIZZA POS,8000,48000,AMBA
