comercio,categoria,patron_transaccional,rango_min_clp,rango_max_clp,zona_comun
Lider,Alimentación,COMPRA WEBPAY LIDER,12000,180000,Nacional
Jumbo,Alimentación,COMPRA WEBPAY JUMBO,12000,180000,Nacional
Santa Isabel,Alimentación,TRANSBANK SANTA ISABEL,12000,180000,Nacional
Unimarc,Alimentación,TRANSBANK UNIMARC,12000,180000,Nacional
Tottus,Alimentación,COMPRA WEBPAY TOTTUS,12000,180000,Nacional
Mayorista 10,Alimentación,TRANSBANK MAYORISTA 10,4000,50000,Nacional
Alvi,Alimentación,TRANSBANK ALVI,4000,50000,Nacional
SuperBodega Acuenta,Alimentación,TRANSBANK SUPERBODEGA ACUENTA,4000,50000,Nacional
Oxxo,Alimentación,TRANSBANK OXXO,4000,50000,Nacional
OK Market,Alimentación,TRANSBANK OK MARKET,4000,50000,Nacional
Pronto Copec,Alimentación,TRANSBANK PRONTO COPEC,4000,50000,Nacional
Spacio1 Petrobras,Alimentación,TRANSBANK SPACIO1 PETROBRAS,4000,50000,Nacional
Upa!,Alimentación,TRANSBANK UPA!,4000,50000,Nacional
McDonalds,Alimentación,TRANSBANK MCDONALDS,6000,35000,Nacional
Burger King,Alimentación,TRANSBANK BURGER KING,6000,35000,Nacional
KFC,Alimentación,TRANSBANK KFC,6000,35000,Nacional
Doggis,Alimentación,TRANSBANK DOGGIS,6000,35000,Nacional
Juan Maestro,Alimentación,TRANSBANK JUAN MAESTRO,6000,35000,Nacional
Tommy Beans,Alimentación,TRANSBANK TOMMY BEANS,6000,35000,Nacional
Mamut,Alimentación,TRANSBANK MAMUT,4000,50000,Nacional
Barrio Chicken,Alimentación,TRANSBANK BARRIO CHICKEN,6000,35000,Nacional
Dominó,Alimentación,TRANSBANK DOMINO,6000,35000,Nacional
Pedro Juan y Diego,Alimentación,TRANSBANK PEDRO JUAN Y DIEGO,6000,35000,Nacional
Buffalo Waffles,Alimentación,TRANSBANK BUFFALO WAFFLES,6000,35000,Nacional
Carls Jr,Alimentación,TRANSBANK CARLS JR,6000,35000,Nacional
Papa Johns,Alimentación,TRANSBANK PAPA JOHNS,6000,35000,Nacional
Subway,Alimentación,TRANSBANK SUBWAY,6000,35000,Nacional
Wendy's,Alimentación,TRANSBANK WENDYS,6000,35000,Nacional
Melt Pizzas,Alimentación,TRANSBANK MELT PIZZAS,6000,35000,Nacional
Pizza Hut,Alimentación,TRANSBANK PIZZA HUT,6000,35000,Nacional
Telepizza,Alimentación,TRANSBANK TELEPIZZA,6000,35000,Nacional
Starbucks,Alimentación,TRANSBANK STARBUCKS,3000,18000,Nacional
Juan Valdez,Alimentación,TRANSBANK JUAN VALDEZ,3000,18000,Nacional
